species_name,formula,advect_flag,molwt,gamma_spec
Ar,Ar,1,0.039948,1.666666667
CH4,CH4,1,0.016043,1.129279013
C2H6,C2H6,1,0.03007,1.071907622
C2H4,C2H4,1,0.028054,1.096256647
C2H2,C2H2,1,0.026038,1.138145656
C3H8,C3H8,1,0.044097,1.049710951
C3H6,C3H6,1,0.042081,1.060734871
O2,O2,1,0.031998,1.311803071
H2O,H2O,1,0.018015,1.250600705
H2O2,H2O2,1,0.034014,1.149667264
CH2O,CH2O,1,0.030026,1.153265256
CO,CO,1,0.02801,1.33252325
CO2,CO2,1,0.044009,1.057985308
H2,H2,1,0.002016,1.001386814
HO2,HO2,1,0.033006,1.210657844
O,O,1,15.999,1.659962703
OH,OH,1,0.017007,1.370602872
CH3,CH3,1,0.015035,1.162846374
C2H5,C2H5,1,0.029062,1.084061698
C2H3,C2H3,1,0.027046,1.118041235
C3H7,C3H7,1,0.043089,1.054438897
CH3O,CH3O,1,0.031034,1.118955465
CHO,CHO,1,0.029018,1.207677183
H,H,1,0.001008,1.666666667
S1,S1,0,0,NaN